,Local,Total_Doses,New_Doses,Total_Vaccinated,Percentage_Total_Vaccinated,Population
0,Mundo,11979131393.0,3315025.0,4771792514.0,61.4,7954605970.0
1,Bahrein,3449762.0,736.0,1222125.0,79.2,1744817.0
2,Arábia Saudita,66580990.0,5627021.0,25058107.0,73.2,36544524.0
3,Austrália,57785001.0,10359.0,21643147.0,84.3,26340904.0
4,Itália,138049833.0,17397.0,47942365.0,79.6,60611482.0
5,Estados Unidos,592269252.0,19381.0,221924152.0,67.3,336190090.0
6,Espanha,106962146.0,0.0,40527090.0,86.0,46508196.0
7,Mônaco,65140.0,0.0,25667.0,67.0,38988.0
8,Azerbaijão,13728289.0,0.0,4849400.0,48.2,10442063.0
9,Canadá,85908594.0,33467.0,31423901.0,82.7,38542934.0
10,Reino Unido,148812986.0,0.0,50041267.0,75.3,68760130.0
11,Áustria,18397970.0,0.0,6623045.0,74.4,9060646.0
12,França,145105673.0,40022.0,52863483.0,78.8,65926281.0
13,Hungria,16792872.0,0.0,6197968.0,63.4,9596266.0
14,Bélgica,25551465.0,0.0,9148200.0,79.4,11754762.0
15,Holanda,33326378.0,0.0,11980109.0,68.6,11263439.0
16,Singapura,14171209.0,0.0,4993291.0,87.5,6113482.0
17,Japão,283048722.0,39689.0,102248901.0,81.2,126299007.0
18,México,208765211.0,0.0,79947470.0,63.2,132619988.0
19,Brasil,449034484.0,467109.0,168228893.0,79.6,214739650.0
20,Emirados Árabes Unidos,24880528.0,0.0,9702575.0,98.1,10925349.0
